Exoplanet Archive Disposition,Orbital Period [days],Disposition Score,Planet-Star Radius Ratio,Planetary Radius [Earth radii],Orbit Semi-Major Axis [au],Inclination [deg],Equilibrium Temperature [K],Insolation Flux [Earth flux],Stellar Effective Temperature [K],Stellar Surface Gravity [log10(cm/s**2)],Stellar Metallicity [dex],Stellar Radius [Solar radii],Stellar Mass [Solar mass],Eccentricity,Transit Depth [ppm],Transit Duration [hrs],Transit Signal-to-Noise,Number of Transits,Not Transit-Like False Positive Flag,Stellar Eclipse False Positive Flag,Centroid Offset False Positive Flag,Ephemeris Match Indicates Contamination False Positive Flag
CONFIRMED,9.48803557,1.0,0.022344,2.26,0.0853,89.66,793.0,93.59,5455.0,4.467,0.14,0.927,0.919,0.0,615.8,2.9575,35.8,142.0,0,0,0,0
CONFIRMED,54.4183827,0.969,0.027954,2.83,0.2734,89.57,443.0,9.11,5455.0,4.467,0.14,0.927,0.919,0.0,874.8,4.507,25.8,25.0,0,0,0,0
CANDIDATE,19.89913995,0.0,0.154046,14.6,0.1419,88.96,638.0,39.3,5853.0,4.544,-0.18,0.868,0.961,0.0,10829.0,1.7822,76.3,56.0,0,0,0,0
FALSE POSITIVE,1.736952453,0.0,0.387394,33.46,0.0267,67.09,1395.0,891.96,5805.0,4.564,-0.52,0.791,0.836,0.0,8079.2,2.40641,505.6,621.0,0,1,0,0
CONFIRMED,2.525591777,1.0,0.024064,2.75,0.0374,85.41,1406.0,926.16,6031.0,4.438,0.07,1.046,1.095,0.0,603.3,1.6545,40.9,515.0,0,0,0,0
CONFIRMED,11.09432054,1.0,0.036779,3.9,0.0992,88.11,835.0,114.81,6046.0,4.486,-0.08,0.972,1.053,0.0,1517.5,4.5945,66.5,95.0,0,0,0,0
CONFIRMED,4.13443512,1.0,0.026133,2.77,0.0514,83.72,1160.0,427.65,6046.0,4.486,-0.08,0.972,1.053,0.0,686.0,3.1402,40.2,240.0,0,0,0,0
CONFIRMED,2.56658897,0.992,0.014983,1.59,0.0374,82.17,1360.0,807.74,6046.0,4.486,-0.08,0.972,1.053,0.0,226.5,2.429,15.0,355.0,0,0,0,0
FALSE POSITIVE,7.36178958,0.0,0.183387,39.21,0.082,60.92,1342.0,767.22,6227.0,3.986,0.0,1.958,1.358,0.0,233.7,5.022,47.7,185.0,0,1,1,0
CONFIRMED,16.06864674,1.0,0.062161,5.76,0.1158,89.92,600.0,30.75,5031.0,4.485,0.16,0.848,0.801,0.0,4914.3,3.5347,161.9,69.0,0,0,0,0
CONFIRMED,2.470613377,0.811,0.123871,13.04,0.0354,84.41,1339.0,761.46,5820.0,4.457,-0.06,0.964,0.971,0.0,14231.0,1.74319,4304.3,432.0,0,0,0,0
CONFIRMED,2.204735417,1.0,0.075522,16.1,0.0376,87.21,2048.0,4148.92,6440.0,4.019,0.14,1.952,1.449,0.0,6674.7,3.88864,5945.9,611.0,0,1,0,0
CONFIRMED,3.522498429,0.998,0.092086,14.59,0.0473,85.2,1521.0,1264.67,6225.0,4.169,-0.04,1.451,1.132,0.0,9145.7,3.19843,1741.5,384.0,0,0,0,0
CONFIRMED,3.709214104,1.0,0.010424,1.16,0.0465,89.73,1206.0,500.46,5833.0,4.407,-0.04,1.022,0.974,0.0,131.1,2.6302,50.6,352.0,0,0,0,0
FALSE POSITIVE,11.521446064,0.0,1.625358,150.51,0.0978,83.13,753.0,75.88,5795.0,4.554,-0.2,0.848,0.938,0.0,17984.0,3.6399,622.1,96.0,0,1,0,0
FALSE POSITIVE,19.40393776,0.0,0.096729,7.18,0.123,84.93,523.0,17.69,5043.0,4.591,-0.54,0.68,0.657,0.0,8918.7,12.2155,214.7,71.0,0,1,0,0
FALSE POSITIVE,19.221388942,0.0,0.476633,49.29,0.1417,88.05,698.0,55.97,6117.0,4.496,-0.22,0.947,1.025,0.0,74284.0,4.79843,2317.0,55.0,0,1,0,0
FALSE POSITIVE,16.46983774,0.0,0.092509,7.94,0.1147,88.81,595.0,29.61,5152.0,4.517,-0.2,0.786,0.741,0.0,10479.0,9.4378,303.4,66.0,0,1,0,0
